#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:25:00Z,0.75,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:25:10Z,0.2,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:25:20Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:25:30Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:25:40Z,0.25,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:25:50Z,0.2,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:26:00Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:26:10Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:26:20Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:26:30Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:26:40Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:26:50Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:27:00Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:27:10Z,0.25,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:27:20Z,0.25,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:27:30Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:28:00Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:28:10Z,0.25,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:28:20Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:28:30Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:28:40Z,0.4,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:28:50Z,0.75,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:29:00Z,1,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:29:10Z,1,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:29:20Z,1,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:29:30Z,1,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:29:40Z,1,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:29:50Z,1,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:30:00Z,1,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:30:10Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:30:20Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:30:30Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:30:40Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:30:50Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:31:00Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:31:10Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:31:20Z,0.2,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:31:30Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:31:40Z,0.4,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:31:50Z,0.5,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:32:00Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:32:10Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:32:30Z,0.4444444444444444,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:32:40Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:32:50Z,0.4,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:33:00Z,0.75,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:33:10Z,0.25,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:33:20Z,1,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:33:30Z,0.75,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:33:40Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:33:50Z,0,pm10,luftqualitaet
,,1,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:33:59.354083108Z,0.5,pm10,luftqualitaet
,,2,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:19:10Z,0.25,pm25,luftqualitaet
,,2,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:19:20Z,0.6,pm25,luftqualitaet
,,2,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:19:30Z,1,pm25,luftqualitaet
,,2,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:19:40Z,1,pm25,luftqualitaet
,,2,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:19:50Z,1,pm25,luftqualitaet
,,2,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:20:00Z,1,pm25,luftqualitaet
,,2,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:20:10Z,1,pm25,luftqualitaet
,,2,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:20:20Z,1,pm25,luftqualitaet
,,2,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:20:30Z,1,pm25,luftqualitaet
,,2,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:20:40Z,1,pm25,luftqualitaet
,,2,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:20:50Z,1,pm25,luftqualitaet
,,2,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:21:00Z,1,pm25,luftqualitaet
,,2,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:21:10Z,1,pm25,luftqualitaet
,,2,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:21:20Z,1,pm25,luftqualitaet
,,2,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:21:50Z,1,pm25,luftqualitaet
,,2,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:22:00Z,1,pm25,luftqualitaet
,,2,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:22:10Z,1,pm25,luftqualitaet
,,2,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:22:20Z,1,pm25,luftqualitaet
,,2,2026-06-05T08:18:59.354083108Z,2026-06-05T08:33:59.354083108Z,2026-06-05T08:22:30Z,1.25,pm25,luftqualitaet
